"x","theotherone"
0.41514,0.04863
0.5136,0.23714
-0.89163,-1.26525
-0.45034,-0.15176
0.48761,-1.52379
-1.74825,-1.20929
-1.16126,0.95834
0.04568,-1.82968
-0.64762,0.05687
1.23927,-1.63186
-0.39483,2.15402
-0.61643,-1.0156
-1.56319,-0.8392
-2.82814,0.643
-0.40728,-1.78481
0.59933,-1.13599
-0.19678,-1.00201
-0.29892,-0.23926
-1.12531,-1.85182
-1.0833,0.47701
0.24409,0.3655
0.3784,-1.02593
-0.27785,-0.13558
-1.70314,-0.59483
0.19803,-0.28045
-2.19017,1.58457
2.2331,0.2896
-1.42895,0.93586
0.43668,1.18565
-0.03229,0.44648
-0.47383,1.00422
0.33225,0.46146
0.87272,0.80455
1.62912,-0.88575
2.96867,-1.08998
-1.1675,-1.40698
0.91197,-0.42952
1.33067,1.00001
-1.65753,1.32669
0.65541,-0.41491
-0.84975,0.05975
0.32161,0.89898
0.8888,0.45722
2.10928,0.3328
1.12424,1.08197
1.10121,0.00647
-0.55079,0.01721
-0.48317,0.5482
0.71253,1.68548
2.49291,0.99556
-1.20644,-0.20666
-0.54084,-0.07462
-1.44251,3.02213
1.41785,0.80206
-1.23528,-0.85772
0.79224,-0.54521
-5.16973,5.01989
-0.2626,-6e-05
0.44462,1.15773
1.39945,1.09817
0.41672,-0.68298
-0.92228,-0.68348
-0.36609,1.2875
-0.98423,-1.72776
0.35239,-0.88297
0.64366,-1.19978
0.29449,-0.28801
0.58156,-0.77573
0.64224,0.58427
-0.45596,0.30945
0.98945,-0.58932
0.3596,0.56974
0.07868,0.48939
1.01096,0.46542
0.02529,-1.82557
0.29078,-0.77117
-0.96372,0.7951
0.36975,-2.06167
-1.24482,2.12104
1.32743,2.05927
-1.45999,-0.24556
-0.06733,-0.06109
-0.23352,1.14384
1.0265,1.28143
0.73753,-1.42616
0.68635,-0.86236
1.01807,-0.1814
0.14234,0.69808
-0.44465,0.05975
-0.81633,0.08992
0.48488,-0.06911
0.09916,-1.04806
0.01968,-0.05099
-1.74882,-1.50072
-1.57889,1.00717
1.25258,-1.36429
0.08925,-0.36706
-1.16419,-0.27824
0.49292,0.18345
-0.07886,0.81826
-1.38574,-0.99069
1.93455,-0.47019
0.12325,-2.28591
1.43218,0.23463
0.40589,0.04396
-1.6161,0.66077
-1.06188,1.26819
1.43977,-0.79127
-0.7809,-4.36387
-0.04952,1.23061
-1.40295,-0.25323
-0.27401,0.00984
-0.01565,0.01956
0.83108,1.73519
1.28948,-1.86525
-0.18145,-0.36783
-0.01524,-0.10212
-0.36473,-0.24948
-0.771,-0.591
-0.23821,0.08679
-1.17424,1.32556
0.50396,-0.68632
-1.94962,-1.7143
-0.55774,0.49222
0.88532,-1.00368
0.84182,-1.22917
0.28791,-0.08322
0.85998,-0.77695
-0.75003,0.77274
0.63027,1.17966
-1.41093,-1.1077
1.17843,-0.19944
1.66766,-1.21901
-2.39098,-0.47226
-0.22669,-0.65826
2.09308,1.82349
-1.51593,0.64095
0.95261,-0.57317
-1.36857,0.7474
2.09313,-0.18224
-0.8862,-0.62421
1.17511,0.26935
1.42387,1.13977
-0.84353,-0.42868
0.6772,-0.92271
-0.36914,-1.15478
1.66431,1.42111
-0.88616,1.30221
0.04163,-1.03565
1.43165,0.17842
-1.72056,0.33146
0.21878,-0.01409
0.18864,1.75073
0.78323,-0.6304
0.2471,1.07941
-0.60794,-0.95068
-0.2526,0.31447
0.54142,-0.26378
-0.12189,-1.40845
0.81379,-2.20178
1.09306,0.26898
1.23368,-1.70959
0.37685,0.03343
-1.23775,-0.10328
-0.95449,-1.14786
-0.87702,-1.40332
-0.14938,1.3053
-0.7635,-1.47862
2.76446,-0.30043
0.48125,0.91901
-0.41367,0.73668
0.59497,-1.12608
0.57013,0.45381
0.00542,0.87157
0.48844,0.15731
-1.26166,-0.29529
-1.03857,0.76952
-1.27987,0.58411
-0.63111,0.73918
0.45399,-0.28603
-0.98218,-1.2396
-0.27727,-1.08645
-1.17548,1.47374
1.10547,-0.74001
1.04931,1.32409
-0.96873,-0.24197
1.87455,1.08855
-1.8993,-0.74114
-0.55383,-2.3165
-1.0612,1.25843
