"","amaflix","netazon"
"1",55.52,77.99
"2",45.45,81.92
"3",95.44,85.35
"4",80.01,81.42
"5",108.39,88.36
"6",84.31,76.75
"7",82.41,90.66
"8",79.95,89.98
"9",85.7,95.24
"10",77.07,87.06
"11",89.24,83.43
"12",102.86,91.88
"13",96.43,87.79
"14",53.05,81.86
"15",78.66,87.55
"16",85.25,87.74
"17",62.38,75.44
"18",97.79,82.83
"19",93.49,75.84
"20",72.9,87.47
"21",71.47,77.92
"22",101.12,93
"23",103.53,81.24
"24",78.38,91.01
"25",83.68,84.14
"26",110.04,82.24
"27",67.93,88.49
"28",89.09,76.82
"29",91.75,87.16
"30",68.28,89.18
"31",68.3,93.71
"32",57.94,89.37
"33",62.33,96.24
"34",55.96,76.86
"35",107.7,90.31
"36",77.53,86.57
"37",87.74,89.07
"38",78.3,82.89
"39",55.56,82.58
"40",87.61,84.61
"41",83.07,89.96
"42",73.6,84.06
"43",76.2,92.08
"44",71.7,83.79
"45",66.98,81.98
"46",103.07,88.4
"47",73.67,76.36
"48",91.47,80.05
"49",75.23,87.77
"50",70.13,77.19
"51",96.68,83.53
"52",82.78,79.6
"53",64.93,88.37
"54",73.65,84.67
"55",90.14,79.1
"56",95.29,76.41
"57",87.76,90.85
"58",80.02,79.4
"59",103.94,88.15
"60",116.28,76.6
"61",69.35,96.01
"62",36.43,88.09
"63",89.79,76.25
"64",79.34,84.84
"65",64.98,87.69
"66",85.83,92.2
"67",82.25,84.59
"68",63.92,81.16
"69",64.75,76.43
"70",67.53,83.6
"71",88.01,85.4
"72",75.29,82.84
"73",89.36,83.8
"74",76.54,80.11
"75",100.4,89.82
"76",104.72,88.79
"77",44.83,88.52
"78",74.31,82.92
"79",98.86,80.38
"80",130.05,76.74
"81",67.54,85.2
"82",91.35,89.14
"83",51.81,89.03
"84",55.27,86.42
"85",109.93,79
"86",86.22,92.81
"87",84.49,88.42
"88",88.3,79.39
"89",52.5,95.51
"90",73.4,91.46
"91",79.14,79.73
"92",61.9,86.93
"93",110.09,89.48
"94",32.15,76.85
"95",91.48,73.51
"96",45.67,82.65
"97",58.3,85.77
"98",90.97,87.17
"99",92.19,88
"100",76.76,84.79
"101",72.94,81.71
"102",64.55,87.7
"103",116.11,85.34
"104",63.31,85.87
"105",101.41,88.2
"106",96.38,81.9
"107",51.51,82.95
"108",98.13,80.21
"109",88.05,83.8
"110",84.85,85.46
"111",71.4,82.57
"112",91.84,81.83
"113",98.53,77.36
"114",64.56,91.52
"115",50.33,85.45
"116",107.33,87.41
"117",78.85,79.05
"118",87.9,85.58
"119",75.14,85.73
"120",124.54,78.71
"121",83.06,83.83
"122",105.5,82.29
"123",67.46,84.29
"124",81.82,79.55
"125",109.27,85.71
"126",81.35,88.61
"127",49.39,75.67
"128",59.44,86.84
"129",94.89,89.14
"130",66.85,85.77
"131",83.57,89.38
"132",93.78,87.28
"133",125.17,76.34
"134",60.89,87.83
"135",100.52,80.57
"136",98.85,87.66
"137",79.77,82.98
"138",74.91,95.94
"139",68.07,76.89
"140",86.52,83.43
"141",36.23,83.78
"142",125.23,87.84
"143",50.61,85.85
"144",75.15,86.14
"145",77.71,77.42
"146",58.01,79.04
"147",53.87,76.79
"148",116,90.07
"149",80.03,80.67
"150",92.41,88.3
"151",68.54,81.57
"152",45.67,77.74
"153",87.46,79.05
"154",115.86,90.09
"155",49.78,84.05
"156",88.4,85.01
"157",96.05,83.74
"158",86.72,83.67
"159",91.86,91.24
"160",70.6,86.02
"161",87.17,90.79
"162",84,80.64
"163",71.67,83.52
"164",72.18,80.75
"165",101.38,88.65
"166",75.21,81.01
"167",57.4,91.05
"168",88.86,88.04
"169",60.69,81.91
"170",83.39,85.33
"171",90.26,80.92
"172",101.18,79.64
"173",56.65,89.32
"174",42.73,88.31
"175",61.65,80.38
"176",79.84,93.48
"177",56.32,77.15
"178",90.88,76.13
"179",72.43,84.4
"180",91.84,86.92
"181",70.1,79.16
"182",62.86,91.88
"183",52.4,80.4
"184",103.13,87.5
"185",73.83,77.55
"186",60.95,85.28
"187",86.73,84.88
"188",86.22,82.18
"189",92.75,85.48
"190",122.45,84.49
"191",61.33,80.46
"192",53.13,86.92
"193",78.99,87.77
"194",92.81,80.96
"195",56.18,87.69
"196",88.9,87.11
"197",81.58,94.61
"198",63.17,82.18
"199",94.17,77.72
"200",77.38,94.23
"201",112,88.51
"202",90.06,89.52
"203",92.43,87.57
"204",64.68,89.78
"205",85.06,85.24
"206",77.77,85.81
"207",86.91,80.45
"208",87.05,88.54
"209",114.16,80.69
"210",78.45,84.32
"211",77.3,87.56
"212",76.74,77.11
"213",68.04,74.55
"214",81.13,77.07
"215",86.85,96
"216",61.75,81.92
"217",105.7,77.77
"218",78.37,80.09
"219",79.59,87.05
"220",75.87,79.1
"221",104.56,86.32
