"amaflix","netazon"
75.07,66.01
75.5,79.15
75.24,74.43
76.16,55.76
76.1,63.46
75.65,68.64
75.03,67.02
75.57,88.69
75.7,88.22
74.87,39.11
75.18,73.03
74.73,58.72
75.06,89.26
76.19,58.46
76.27,103.32
74.55,93.19
76.6,78.79
75.68,86.27
75.55,67.53
76.35,88.99
74.72,79.86
75.57,70.09
74.68,90.56
75.83,71.47
76.04,79.88
76.6,80.84
75.93,46.6
75.99,77.5
76.46,91.47
75.22,98.97
75.78,48.2
76.43,116.52
75.96,45.77
74.31,82.1
76.28,53.56
76.79,107.99
76.07,79.56
74.8,79.45
75.92,62.8
75.42,33.38
75.46,97.5
77.83,85.2
76.24,60.3
75.85,96.04
75.9,94.3
76.48,90.08
75.66,61.69
75.12,86.43
74.36,38.36
75.39,110.43
77.06,104.39
76.57,70.93
75.91,76.1
76.26,102.65
75.71,48.21
74.46,99
75.38,78.29
75.18,61
74.8,90.57
76.48,96.51
76.22,77.69
75.44,69.99
76.19,70.23
74.56,50.78
75.75,73.99
75.93,41.69
74.26,45.02
76.31,87.35
75.42,87.4
75.8,101.93
75.28,88.37
75.43,51.75
76.12,104.85
74.81,83.3
75.72,68.78
75.63,61.78
75.63,39.64
75.3,60.82
76.07,103.81
76.34,91.58
75.01,67.75
74.38,118.63
75.37,107.11
74.9,112.05
76.1,60.15
77.32,74.15
77.33,48.04
75.37,63.57
75.45,76.65
75.46,88.82
77,83.99
75.68,91.88
75.03,64.56
76.19,71.52
76.53,90.3
76.12,95.65
74.51,58.29
75.22,61.14
75.94,95.57
75.97,71.44
74.7,75.57
75.6,46.4
76.17,73.62
75.97,69.6
74.17,122.72
74.76,80.7
75.79,75.1
75.91,103.7
75.09,67.51
74.93,36.48
75.62,76.03
74.7,15.57
75.19,88.87
74.78,62.42
75.62,114.98
75.76,116.73
77.11,113.56
75.68,58.94
76.54,55.09
75.27,85.07
74.87,76.07
75.79,49.08
75.29,115.27
76.74,78.4
73.52,73.31
76.03,78.78
76.3,100.33
75.5,79.94
76.17,62.26
75.87,87.75
75.66,66.64
75.77,104.55
76.56,74.53
77.1,58.99
75.22,63.88
75.33,92.95
76.52,70.06
75.31,55.48
75.59,86.58
74.69,59.7
75.75,136.34
74.96,59.01
77.02,127.38
75.82,75.13
76.54,99.58
75.08,93.52
75.35,81.62
75.01,97.83
74.41,86.93
74.38,89.34
75.59,72.18
75.15,32.62
74.63,99.73
75.15,110.35
75.61,87.28
74.77,40.11
76.42,93.7
76.44,60.96
76.39,65.96
76.38,87.1
76.12,109.09
75.61,112.35
76.02,88.15
74.09,101.64
76.23,67.64
76.26,73.47
75.58,59.61
75.63,87.66
76.13,51.47
76.42,74.37
77.23,92.91
74.83,95.46
75.96,16.73
75.26,81.36
74.8,114.55
76.29,69.07
73.9,77
76.61,71.32
75.59,81.3
75.47,88.44
75.71,134.3
77.51,48.26
75.97,76.73
74.75,87.32
77.2,82.07
75.87,94.48
76.24,83.2
75.01,83.73
75.27,48.53
76.07,108.2
75.68,56.24
76.8,51.05
75.51,59.88
76.24,88.74
75.63,63.64
76.58,37.06
74.89,75.76
73.95,55.9
75.67,56.15
75.55,44.34
75.59,99.17
75.58,83.24
76.31,83.95
74.48,82.1
75.57,118.54
74.39,91.99
76.1,68.86
75.64,67.14
75.47,46.12
76.11,74.66
76.58,100.76
76.21,43.73
76.77,50.15
75.49,102.74
75.3,69.25
75.94,76.33
75.29,65.22
75.84,50.54
74.97,82.16
74.8,116.57
75.74,72.56
74.37,69.62
75.33,101.97
76.36,58.4
75.17,122.59
75.06,88.98
76.49,44.54
75.86,78.23
75.61,99.9
75.75,103.5
74.97,101.56
76.05,77.97
75.28,99.78
76.22,90.27
74.58,72.46
74.92,99.17
76.82,46.03
75.25,50.59
74.83,109.25
74.57,94.49
75.21,99.17
75.82,102.7
76.22,45.23
76.9,83.08
75.08,66.25
75.49,33.52
74.63,79.97
74.48,98.84
75.65,73.74
75.98,74.19
75.94,102.78
75.7,88.78
75.05,106.4
75.09,90.1
74.98,59.71
74.93,121.16
74.74,101.11
75.39,96.14
76.32,67.81
73.65,70.19
75.81,68.68
73.98,68.4
76.01,91.99
75.93,86.67
75.37,73.71
75.65,77.93
74.8,79.71
