"x","pmf_x"
6,0.0023
13,0.0041
75,0.0012
117,0.0073
123,0.0013
131,0.0091
140,0.0546
169,6e-04
193,0.0102
194,0.0042
197,0
206,0.0115
212,0.001
216,0.0031
222,0
223,2e-04
241,0.0061
244,6e-04
251,0.0103
253,0.0029
276,0.0127
295,0.0355
313,0.02
315,0.013
324,0.0014
369,1e-04
391,0.0153
393,1e-04
403,4e-04
429,0.0031
430,0.0292
432,1e-04
460,0.0046
475,0.0032
485,0.0093
489,0.0321
500,0.0068
507,0.0102
512,0.0332
516,0.0543
545,0.0309
566,0.0096
571,0.0104
574,1e-04
575,0.0047
578,6e-04
584,0.028
590,0.0078
591,0.006
594,0.0055
607,0.0067
609,9e-04
617,0.0177
622,0.0236
624,0.0112
628,0
640,1e-04
654,0.0245
655,0
658,0.0081
662,0.017
677,0.0111
698,0.0977
722,0.0137
725,0.0013
726,0.0067
732,0.0024
743,0.0071
749,0.0026
758,3e-04
773,5e-04
781,0.0121
787,0.0021
796,0
801,0.0069
806,0.008
814,0.0566
818,0.0016
819,0.0084
825,0.0015
826,0.0041
832,0.0035
866,0.0382
880,0.0082
882,0.021
895,0
903,0.0079
907,5e-04
909,0.0105
955,0.0172
963,0.0041
969,1e-04
973,0.0012
978,0.001
993,5e-04
997,0.0123
998,1e-04
999,4e-04
